39190,2527,10,70
33538,3425,2,93
34156,4007,6,68
42187,2417,9,39
31514,1173,3,88
11334,772,9,85
25440,1463,1,85
1620,4701,9,36
12770,2046,7,28
8196,1861,2,32
41718,4102,1,42
17866,2133,4,54
22794,170,7,52
23695,1280,1,71
23684,849,1,56
28492,550,9,61
7199,1753,5,100
25744,2757,7,93
15566,2014,6,19
32629,1632,6,19
31096,4154,5,33
27424,1982,1,24
27987,1969,3,15
4662,2830,2,35
13722,1368,3,24
4542,3857,1,7
15403,2367,10,70
3059,2860,6,24
12224,3425,1,93
35637,279,7,4
49595,1979,7,25
22196,4977,1,73
17457,540,10,34
31777,2394,4,80
12200,899,10,11
34818,4459,5,57
44915,1118,2,6
31991,2245,3,52
25376,189,1,74
14195,890,5,35
37332,3943,9,40
41894,2229,3,23
39391,4700,4,83
8571,469,7,11
41185,4567,5,73
16485,181,1,68
28886,2121,1,21
7928,4658,9,38
11767,1408,5,96
34722,4623,7,21
7934,2320,1,61
11585,1650,1,72
6207,2495,10,39
46285,4782,6,21
34195,1696,5,10
40260,3665,8,8
40894,4460,2,52
40791,1127,10,86
46596,2862,4,69
20162,3884,6,34
47778,370,3,68
642,1096,8,2
46286,4247,5,37
18767,2596,1,31
18673,1564,2,71
28318,4760,4,92
641,2144,10,65
14866,2007,7,7
32386,1630,5,30
38614,198,5,49
39379,708,5,98
25551,3558,7,76
33894,2644,1,95
47789,4421,10,39
36329,394,6,73
3509,1137,10,41
44857,1459,3,22
192,740,10,90
9165,3000,3,83
23793,4567,1,73
26282,1697,10,14
21745,1908,6,7
37746,3112,6,45
43125,1059,8,12
25026,4610,4,8
7301,1426,8,79
9643,2742,5,44
31468,281,6,86
26105,2369,4,67
22052,813,2,74
41442,4082,7,19
27158,2807,2,54
36299,1896,2,10
25571,768,4,94
10540,705,1,30
23220,631,8,67
27745,1797,6,99
25606,1616,8,5
35010,515,3,75
10504,1600,7,61
7892,1410,1,27
6959,3625,1,15
7796,3296,4,30
15236,3301,7,33
2516,4513,10,44
17062,2835,5,3
1263,2940,5,33
14516,870,2,21
2303,3465,4,12
26028,4706,4,62
37445,2059,6,90
15601,2779,9,1
6356,1521,1,40
41881,1001,5,34
3060,3979,4,79
21132,2295,2,47
11950,3079,2,28
5270,3240,4,96
18391,3062,6,49
28588,1970,4,33
33510,1356,9,46
24800,1428,10,34
43713,433,6,94
25181,1544,10,8
27960,3966,2,58
31666,3645,9,87
25938,2580,10,61
24735,3213,2,47
24591,4467,9,97
26373,1965,9,57
41544,1886,5,8
26127,266,9,80
11397,4398,8,16
1662,828,1,25
20943,4308,10,45
41325,3690,4,80
41114,1457,9,96
205,3392,4,35
44892,3806,4,5
2499,1046,1,17
41358,3519,7,6
6630,1385,3,74
5067,3942,10,90
17813,4016,3,50
4833,171,10,65
11206,2170,8,53
48081,622,3,5
13026,4747,8,100
12414,753,6,21
8907,291,10,86
41204,77,5,63
6383,2407,7,99
26304,4872,10,78
36728,1027,10,39
26719,4950,7,69
31315,3435,9,55
35125,2602,8,36
2492,3458,6,32
34538,2037,3,66
