445,165,9,28
812,326,7,22
1404,192,10,82
2542,209,6,31
4194,69,8,47
2773,204,4,19
2953,63,7,24
3421,164,1,21
3442,426,10,100
3549,151,3,76
2758,327,9,25
4500,165,8,28
3178,12,4,71
1773,142,3,76
3404,135,1,71
244,271,6,12
270,322,1,77
1708,411,2,48
3713,167,6,17
3088,10,1,60
2134,340,7,68
1797,338,3,52
528,135,2,71
1994,328,4,58
190,462,10,4
3426,12,9,71
3444,264,10,2
2318,293,6,32
1840,10,3,60
1858,147,1,46
1241,332,6,34
1382,464,2,35
1969,209,6,31
822,23,3,100
4350,396,10,91
3837,15,2,31
2783,204,1,19
289,309,8,19
1939,14,5,85
3200,259,4,49
2195,298,3,85
2941,136,4,12
3564,321,4,19
1463,377,10,67
1224,286,1,22
858,378,7,10
2687,10,3,60
721,453,10,21
2542,485,9,80
1808,499,8,56
4848,415,1,12
910,258,3,9
2420,269,5,24
4638,260,8,99
246,391,2,87
1767,169,4,11
3034,366,6,16
3923,244,5,35
2537,224,9,9
2377,459,10,83
3663,479,7,49
4201,140,8,40
747,484,1,93
3415,46,8,88
3893,407,1,59
2601,257,7,97
64,186,4,55
2349,436,9,80
6,338,1,52
3665,39,7,7
124,54,10,12
3874,140,7,40
2241,297,4,51
498,441,9,67
2424,173,2,12
21,478,9,35
2751,65,7,88
357,181,10,32
4744,295,5,72
4617,423,3,71
4180,467,10,83
1765,126,1,49
4020,435,1,91
3764,134,4,79
4771,207,8,94
2000,398,7,42
225,161,10,49
681,297,4,51
1585,216,8,22
3134,465,6,85
4723,267,1,54
4702,331,6,67
4005,376,10,35
4236,242,2,56
3826,401,9,34
2841,355,6,36
4867,97,10,16
3962,349,5,7
3350,112,2,85
4900,106,9,45
899,6,2,45
4832,399,10,98
2808,9,2,2
3423,91,1,66
1906,328,5,58
847,51,1,50
3447,455,8,31
2933,401,4,34
4499,253,4,47
2507,261,3,41
4356,407,10,59
2951,89,4,51
882,152,2,34
1902,73,2,95
2242,388,10,37
1998,150,2,34
3958,44,3,20
3607,130,8,30
693,73,1,95
3525,301,5,82
2233,48,8,19
4529,482,1,77
62,130,6,30
2163,279,8,5
4295,87,10,57
3568,254,7,72
2041,484,2,93
1502,106,7,45
480,43,10,21
2254,351,1,50
4284,371,6,39
3620,355,4,36
3131,196,5,97
2587,359,2,78
348,437,6,6
4572,12,4,71
2360,275,5,82
4738,121,6,41
597,14,6,85
73,56,10,29
4985,115,10,92
1592,421,2,97
1525,19,9,54
4264,453,1,21
4309,352,3,87
1479,324,4,80
2590,294,2,74
4463,214,9,71
2625,50,7,85
240,205,2,73
4895,87,5,57
4134,141,8,50
3485,417,10,33
903,184,3,1
1918,92,1,37
2762,317,5,62
4728,374,5,29
2320,189,7,40
2188,223,1,11
3588,244,2,35
1016,95,7,49
2767,293,5,32
1005,25,1,45
2890,38,2,62
3817,457,10,65
3029,196,3,97
1994,8,2,17
3140,30,1,74
4376,418,3,19
1150,215,6,79
1189,434,3,61
4319,21,7,59
420,402,2,42
3615,289,4,41
113,365,5,31
534,124,7,7
3017,26,1,9
3084,490,1,63
2267,220,8,48
2981,87,7,57
4809,405,3,30
3983,475,5,23
2737,323,10,98
880,461,4,73
3705,228,5,25
3836,293,8,32
4102,258,8,9
568,103,7,17
924,460,5,24
2681,353,1,68
3959,71,8,82
4039,405,4,30
2535,480,5,51
3058,185,9,28
1413,454,3,54
3921,327,9,25
921,320,9,62
731,114,7,96
2136,444,2,78
1499,426,4,100
238,448,3,77
2222,370,1,19
3652,413,1,40
1185,471,8,2
3000,182,6,59
492,264,6,2
3131,379,1,32
927,449,6,57
4986,416,4,88
3657,423,3,71
1718,438,4,42
